,file_name,sentiment_score,interpretation
662,99250_1993.txt,-1,negative
290,99231_1993.txt,-1,negative
913,99193_1993.txt,-1,negative
692,99189_1993.txt,-1,negative
1028,9892_1993.txt,0,neutral
600,98559_1993.txt,0,neutral
621,98362_1993.txt,-1,negative
853,98349_1993.txt,0,neutral
349,97886_1993.txt,-1,negative
81,97561_1993.txt,-1,negative
695,9749_1993.txt,-1,negative
829,97452_1993.txt,-1,negative
998,97349_1993.txt,-1,negative
1042,97210_1993.txt,0,neutral
691,97142_1993.txt,1,positive
326,96977_1993.txt,-1,negative
674,96966_1993.txt,-1,negative
793,96943_1993.txt,-1,negative
707,96935_1993.txt,-1,negative
554,96919_1993.txt,0,neutral
411,96831_1993.txt,-1,negative
199,9672_1993.txt,-1,negative
448,96638_1993.txt,1,positive
620,9659_1993.txt,-1,negative
760,96289_1993.txt,0,neutral
549,96271_1993.txt,1,positive
652,96238_1993.txt,-1,negative
134,96223_1993.txt,-1,negative
427,9548_1993.txt,-1,negative
673,95395_1993.txt,-1,negative
1058,9534_1993.txt,0,neutral
904,95304_1993.txt,-1,negative
49,95301_1993.txt,0,neutral
457,94887_1993.txt,-1,negative
225,94673_1993.txt,0,neutral
916,94610_1993.txt,0,neutral
596,94601_1993.txt,-1,negative
438,94049_1993.txt,-1,negative
360,9389_1993.txt,-1,negative
266,93675_1993.txt,0,neutral
585,93542_1993.txt,-1,negative
536,93469_1993.txt,-1,negative
430,93444_1993.txt,-1,negative
947,93410_1993.txt,-1,negative
197,93397_1993.txt,1,positive
919,93389_1993.txt,-1,negative
272,92487_1993.txt,0,neutral
316,92476_1993.txt,-1,negative
206,92416_1993.txt,-1,negative
83,92344_1993.txt,-1,negative
696,92342_1993.txt,-1,negative
338,92236_1993.txt,-1,negative
341,92230_1993.txt,-1,negative
372,92195_1993.txt,0,neutral
45,92122_1993.txt,-1,negative
989,92116_1993.txt,-1,negative
881,92088_1993.txt,0,neutral
739,92081_1993.txt,-1,negative
708,92050_1993.txt,0,neutral
1039,91928_1993.txt,-1,negative
768,91882_1993.txt,-1,negative
724,91767_1993.txt,-1,negative
279,91576_1993.txt,-1,negative
1009,912238_1993.txt,-1,negative
168,912025_1993.txt,-1,negative
659,91142_1993.txt,0,neutral
776,910079_1993.txt,0,neutral
399,909783_1993.txt,-1,negative
570,906933_1993.txt,-1,negative
830,90498_1993.txt,-1,negative
721,902791_1993.txt,-1,negative
128,90185_1993.txt,-1,negative
99,89966_1993.txt,-1,negative
371,89800_1993.txt,1,positive
19,897729_1993.txt,-1,negative
229,896328_1993.txt,-1,negative
441,89629_1993.txt,0,neutral
819,894651_1993.txt,-1,negative
310,894405_1993.txt,-1,negative
758,89415_1993.txt,-1,negative
920,893958_1993.txt,-1,negative
689,893928_1993.txt,-1,negative
922,893486_1993.txt,0,neutral
418,8919_1993.txt,-1,negative
864,89089_1993.txt,-1,negative
336,890539_1993.txt,-1,negative
631,890175_1993.txt,-1,negative
967,8868_1993.txt,-1,negative
859,884033_1993.txt,-1,negative
480,883701_1993.txt,-1,negative
132,88255_1993.txt,0,neutral
58,882244_1993.txt,-1,negative
833,882243_1993.txt,-1,negative
243,882240_1993.txt,-1,negative
94,882239_1993.txt,-1,negative
367,88205_1993.txt,-1,negative
831,88204_1993.txt,-1,negative
547,88121_1993.txt,-1,negative
937,880416_1993.txt,-1,negative
299,88034_1993.txt,-1,negative
932,87949_1993.txt,-1,negative
124,879209_1993.txt,-1,negative
936,877930_1993.txt,0,neutral
843,876858_1993.txt,-1,negative
115,87266_1993.txt,0,neutral
24,872553_1993.txt,-1,negative
1035,872552_1993.txt,-1,negative
487,872551_1993.txt,-1,negative
295,869739_1993.txt,-1,negative
346,869391_1993.txt,-1,negative
984,868635_1993.txt,0,neutral
844,868571_1993.txt,-1,negative
395,868482_1993.txt,-1,negative
